ISBN,BookTitle,BookAuthor,YearOfPublication,Publisher,ImageUrlSmall,ImageUrlMedium,ImageUrlLarge
4512824911,Book Title 1,Author 331,1997,Publisher 30,http://images.amazon.com/images/P/4512824911.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/4512824911.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/4512824911.01.LZZZZZZZ.jpg
2749876819,Book Title 2,Author 976,2018,Publisher 193,http://images.amazon.com/images/P/2749876819.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2749876819.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2749876819.01.LZZZZZZZ.jpg
2947900989,Book Title 3,Author 576,1979,Publisher 119,http://images.amazon.com/images/P/2947900989.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2947900989.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2947900989.01.LZZZZZZZ.jpg
8081351271,Book Title 4,Author 246,2020,Publisher 54,http://images.amazon.com/images/P/8081351271.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8081351271.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8081351271.01.LZZZZZZZ.jpg
5857789936,Book Title 5,Author 265,1956,Publisher 199,http://images.amazon.com/images/P/5857789936.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/5857789936.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/5857789936.01.LZZZZZZZ.jpg
1526476113,Book Title 6,Author 299,1958,Publisher 102,http://images.amazon.com/images/P/1526476113.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1526476113.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1526476113.01.LZZZZZZZ.jpg
2163969561,Book Title 7,Author 694,1969,Publisher 17,http://images.amazon.com/images/P/2163969561.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2163969561.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2163969561.01.LZZZZZZZ.jpg
3834659690,Book Title 8,Author 987,1988,Publisher 3,http://images.amazon.com/images/P/3834659690.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3834659690.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3834659690.01.LZZZZZZZ.jpg
4995052596,Book Title 9,Author 19,2017,Publisher 48,http://images.amazon.com/images/P/4995052596.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/4995052596.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/4995052596.01.LZZZZZZZ.jpg
5341124622,Book Title 10,Author 404,2006,Publisher 81,http://images.amazon.com/images/P/5341124622.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/5341124622.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/5341124622.01.LZZZZZZZ.jpg
